lambda,seed_index,phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,stable_edge_count,stable_topology
0.02,0,fragmented_sparse,6,2,5,,0.38129024546270396,0.25929024546270396,True,True
0.02,1,fragmented_sparse,2,4,3,,0.05439068493681931,0.008390684936819312,True,True
0.02,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.5631607085162187,True,True
0.02,3,dense_nonlocal,8,2,5,,0.75088074424785,0.58888074424785,False,True
0.02,4,fragmented_sparse,7,2,5,,0.7979095538701602,0.6559095538701601,True,True
0.02,5,fragmented_sparse,7,2,5,,1.411865434165752,1.269865434165752,True,True
0.02,6,sparse_geometric,7,1,6,3,0.33844191614170116,0.19844191614170115,True,True
0.02,7,fragmented_sparse,3,3,4,,0.11057107068760252,0.04657107068760252,True,True
0.02,8,fragmented_sparse,4,2,4,,0.23023984449317408,0.1482398444931741,False,False
0.02,9,fragmented_sparse,1,5,2,,0.03175420226387138,0.0037542022638713812,True,True
0.02,10,sparse_geometric,5,1,6,4,0.29852144188207264,0.19852144188207263,True,True
0.02,11,sparse_geometric,6,1,6,4,0.31209037685060853,0.19209037685060854,True,True
0.02,12,fragmented_sparse,2,4,2,,0.12882275405104815,0.08282275405104815,False,False
0.02,13,fragmented_sparse,2,4,2,,0.06485953996327018,0.01885953996327018,True,True
0.02,14,fragmented_sparse,2,4,2,,0.09494125781397669,0.048941257813976694,False,False
0.02,15,dense_nonlocal,10,1,6,2,1.0940242569534113,0.8940242569534114,True,True
0.02,16,fragmented_sparse,4,3,4,,0.18255052971104757,0.09855052971104757,True,True
0.02,17,sparse_geometric,6,1,6,4,0.566960145828227,0.44696014582822696,True,True
0.02,18,dense_nonlocal,8,1,6,3,0.5690777657348323,0.40907776573483223,False,True
0.02,19,sparse_geometric,6,1,6,4,0.3607379103128709,0.2407379103128709,True,True
0.04,0,fragmented_sparse,5,2,5,,0.3282614535529196,0.12426145355291959,True,True
0.04,1,empty,0,6,1,,0,-0.02,False,False
0.04,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.4431607085162187,True,True
0.04,3,fragmented_sparse,6,2,5,,0.5596623874609968,0.31566238746099684,True,True
0.04,4,fragmented_sparse,5,2,5,,0.44887748481957085,0.24487748481957086,True,True
0.04,5,fragmented_sparse,6,2,5,,1.0637389106376414,0.8197389106376414,True,True
0.04,6,fragmented_sparse,4,2,5,,0.26960274973200266,0.10560274973200268,True,True
0.04,7,fragmented_sparse,1,5,2,,0.06988772060513626,0.013887720605136267,True,True
0.04,8,fragmented_sparse,2,4,2,,0.1893451867540823,0.0973451867540823,True,True
0.04,9,empty,0,6,1,,0,-0.02,False,False
0.04,10,fragmented_sparse,3,3,2,,0.2543302244808507,0.12633022448085068,True,True
0.04,11,fragmented_sparse,4,2,3,,0.23977968050250045,0.07577968050250047,False,False
0.04,12,fragmented_sparse,2,4,2,,0.1288612422708426,0.036861242270842615,True,True
0.04,13,fragmented_sparse,1,5,2,,0.03863803860082504,-0.017361961399174952,False,False
0.04,14,fragmented_sparse,1,5,2,,0.07657853982158813,0.020578539821588138,True,True
0.04,15,dense_nonlocal,8,1,6,3,1.0240708092435638,0.7040708092435637,False,True
0.04,16,fragmented_sparse,2,4,3,,0.10059844979160792,0.008598449791607926,False,False
0.04,17,sparse_geometric,6,1,6,4,0.566960145828227,0.32696014582822697,True,True
0.04,18,fragmented_sparse,3,3,4,,0.2511806797094692,0.12318067970946922,False,False
0.04,19,sparse_geometric,6,1,6,4,0.3607379103128709,0.1207379103128709,True,True
0.06,0,fragmented_sparse,2,4,3,,0.17272971557344147,0.03472971557344148,False,False
0.06,1,empty,0,6,1,,0,-0.03,True,True
0.06,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.3231607085162187,True,True
0.06,3,fragmented_sparse,5,2,5,,0.5165709975758144,0.21057099757581438,False,True
0.06,4,fragmented_sparse,3,3,4,,0.25811972006999745,0.06611972006999745,True,True
0.06,5,fragmented_sparse,5,2,5,,0.8927709272377446,0.5867709272377446,True,True
0.06,6,fragmented_sparse,2,4,2,,0.18124444248701038,0.0432444424870104,False,False
0.06,7,fragmented_sparse,1,5,2,,0.0698877206051357,-0.014112279394864286,True,True
0.06,8,fragmented_sparse,1,5,2,,0.14522425649071136,0.061224256490711365,False,False
0.06,9,empty,0,6,1,,0,-0.03,True,True
0.06,10,fragmented_sparse,1,5,2,,0.16575945630421518,0.08175945630421519,False,False
0.06,11,fragmented_sparse,2,4,2,,0.12827071843533563,-0.00972928156466435,False,False
