lambda,seed_index,pre_final_phase,post_phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,bridges_added_total,stable_edge_count,stable_topology
0.02,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.23285930671679356,1.883329584752525e-18,0,True,True
0.02,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.4781195114194039,0.0,0,True,True
0.02,2,sparse_geometric,sparse_geometric,6,1,6,4,0.3775106273324363,0.25772629451583506,0.0025704097047954282,0,True,True
0.02,3,fragmented_sparse,fragmented_sparse,5,2,5,,0.37611072696992626,0.025846086393000615,3.018686440162492e-17,0,True,True
0.02,4,fragmented_sparse,fragmented_sparse,7,2,5,,0.8997567527804602,0.5078518406928455,2.2142483107520664e-17,0,False,True
0.02,5,fragmented_sparse,fragmented_sparse,5,2,5,,0.31698181598320785,-0.0332776143493143,3.2271019619869075e-17,0,True,True
0.02,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,0.1343421879926614,0.0032643976162400018,0,True,True
0.02,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.24546624665602265,7.236879102112993e-20,0,True,True
0.02,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,0.13873925901600934,0.005355507576292297,0,True,True
0.02,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-0.9388438746316006,0.0,0,True,True
0.02,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,0.17292951458362885,0.005902441329957561,0,True,True
0.02,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,0.18914806373651924,0.009641870251986796,0,True,True
0.02,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.2510696809842418,2.0381243706661363e-18,0,True,True
0.02,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.5294380939514512,0.0,0,True,True
0.02,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.36341587146704896,0.0,0,True,True
0.02,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,0.09902216320485474,0.013580734939368,0,True,True
0.02,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.48903614059761885,-2.8817442878222405e-50,0,True,True
0.02,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,0.1971734713447142,0.007919566808085983,0,True,True
0.02,18,sparse_geometric,sparse_geometric,7,1,6,3,0.7680677310752446,0.6287352068823555,0.01120132806723751,0,True,True
0.02,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,0.08143662531805566,0.00038532666243887927,0,True,True
0.04,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.3128593067167936,1.883329584752525e-18,0,True,True
0.04,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-0.5381195114194038,0.0,0,True,True
0.04,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,0.10543139153604018,0.0012185410029949355,0,True,True
0.04,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.07278049980661795,1.7307624935867026e-17,0,True,True
0.04,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,0.12037382082029342,6.610871254366662e-17,0,True,True
0.04,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.2062531633084151,0.0,0,True,True
0.04,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,0.03434218799266141,0.0032643976162400018,0,True,True
0.04,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.3254662466560227,7.236879102112993e-20,0,True,True
0.04,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,0.03873925901600933,0.005355507576292297,0,True,True
