lambda,seed_index,phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,final_degree_variance,stable_edge_count,stable_topology
0.02,0,fragmented_sparse,6,2,5,,0.38129024546270396,0.011011733315917203,4.3251629078755375e-17,0.00795748990819334,True,True
0.02,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.5007812090232114,0.0,0.0004106215175203121,True,True
0.02,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.5621802114220501,0.0023821862201645365,0.04026544610852183,True,True
0.02,3,dense_nonlocal,8,2,5,,0.75088074424785,0.33984452784768787,7.28583859910259e-17,0.029606182861774157,False,True
0.02,4,fragmented_sparse,7,2,5,,0.7979095538701602,0.40669228695467363,1.0408340855860843e-17,0.03477905472818583,True,True
0.02,5,fragmented_sparse,7,2,5,,1.411865434165752,1.0176137500071634,1.8165550379958395e-16,0.12147669024538493,True,True
0.02,6,sparse_geometric,7,1,6,3,0.33844191614170116,0.19997825620623916,0.009199304243517848,0.0034152771227206613,True,True
0.02,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.21844012170058938,6.9050125859816655e-18,0.0011536661439057495,True,True
0.02,8,sparse_geometric,5,1,6,4,0.2473201950117059,0.14864008993259312,0.007944185904998834,0.0031445297717875623,True,True
0.02,9,fragmented_sparse,1,5,2,,0.03175420226387138,-0.9882536402978286,0.0,0.00022407319142552312,True,True
0.02,10,sparse_geometric,5,1,6,4,0.29852144188207264,0.2001946405862313,0.009902885310468207,0.003123447192160274,True,True
0.02,11,sparse_geometric,6,1,6,4,0.31209037685060853,0.19347393694950718,0.007925650113232485,0.001230197756663033,True,True
0.02,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.18235543762933845,2.7736955758835764e-17,0.0009089089231120103,True,True
0.02,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.7251495391750095,0.0,0.0002594039508457366,True,True
0.02,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.4481254388190864,0.0,0.0012025054462336247,True,True
0.02,15,dense_nonlocal,10,1,6,2,1.0940242569534113,0.9082481480574821,0.08294812514224724,0.020193469186679695,True,True
0.02,16,fragmented_sparse,4,3,4,,0.18255052971104757,-0.3975489478953547,4.984707386930984e-18,0.0028422173257799045,True,True
0.02,17,sparse_geometric,6,1,6,4,0.566960145828227,0.4485018637351834,0.012010802792920825,0.017720759879121372,True,True
0.02,18,dense_nonlocal,10,1,6,2,0.6053913409136882,0.41208615490818934,0.03971670401728101,0.012976935103125772,True,True
0.02,19,sparse_geometric,6,1,6,4,0.3607379103128709,0.24069551931269578,0.0010228695678339127,0.006471643496720532,True,True
0.04,0,fragmented_sparse,5,2,5,,0.3282614535529196,-0.12199970708028707,4.456826930021879e-17,0.007461732377332673,True,True
0.04,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.5607812090232115,0.0,0.0004106215175203121,True,True
0.04,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.44218021142205005,0.0023821862201645365,0.04026544610852183,True,True
0.04,3,fragmented_sparse,6,2,5,,0.5596623874609968,0.06891485133847304,0.0,0.021358174929251475,True,True
0.04,4,fragmented_sparse,5,2,5,,0.44887748481957085,-0.0017002600286320315,3.9104090767696544e-17,0.01650699566293932,True,True
0.04,5,fragmented_sparse,6,2,5,,1.0637389106376414,0.5705925171474752,4.939671165600221e-17,0.08989695686189288,True,True
0.04,6,sparse_geometric,5,1,6,5,0.27772111703142727,0.07906169160900654,0.008072629106808603,0.0032142474756075637,False,True
0.04,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.29844012170058937,6.9050125859816655e-18,0.0011536661439057495,True,True
0.04,8,sparse_geometric,5,1,6,4,0.2473201950117059,0.048640089932593125,0.007944185904998834,0.0031445297717875623,True,True
0.04,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.0082536402978284,0.0,0.00022407319142552312,True,True
0.04,10,sparse_geometric,5,1,6,4,0.29852144188207264,0.10019464058623129,0.009902885310468207,0.003123447192160274,True,True
0.04,11,sparse_geometric,6,1,6,4,0.31209037685060853,0.07347393694950718,0.007925650113232485,0.001230197756663033,True,True
0.04,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.2623554376293385,2.7736955758835764e-17,0.0009089089231120103,True,True
0.04,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.7651495391750095,0.0,0.0002594039508457366,True,True
0.04,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.5081254388190865,0.0,0.0012025054462336247,True,True
0.04,15,dense_nonlocal,9,1,6,3,1.0613335159063673,0.7103557535043058,0.05421761062135125,0.021055208968706024,False,True
0.04,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.4877374737064627,8.952673579213436e-35,0.0015829817638803305,True,True
0.04,17,sparse_geometric,6,1,6,4,0.566960145828227,0.3285018637351834,0.012010802792920825,0.017720759879121372,True,True
0.04,18,sparse_geometric,5,1,6,5,0.3035065823011162,0.1055844883011946,0.0122305570190517,0.003531264667168665,False,True
0.04,19,sparse_geometric,6,1,6,4,0.3607379103128709,0.12069551931269579,0.0010228695678339127,0.006471643496720532,True,True
0.06,0,fragmented_sparse,5,2,5,,0.3282614535529196,-0.22199970708028705,4.456826930021879e-17,0.007461732377332673,True,True
0.06,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.6207812090232115,0.0,0.0004106215175203121,True,True
0.06,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.32218021142205006,0.0023821862201645365,0.04026544610852183,True,True
0.06,3,fragmented_sparse,5,2,5,,0.5165709975758144,-0.034145489171447586,0.0,0.020471049921770488,False,True
0.06,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.2133091693144552,0.0,0.007369958541187972,True,True
0.06,5,fragmented_sparse,5,2,5,,0.8927709272377446,0.33998116615212515,0.0,0.07970745958912744,True,True
0.06,6,sparse_geometric,5,1,6,5,0.27803007922194284,-0.02062763497503887,0.008082503703961224,0.003216138962706897,True,True
0.06,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.3784401217005894,6.9050125859816655e-18,0.0011536661439057495,True,True
0.06,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.05135991006740685,0.007944185904998834,0.0031445297717875623,True,True
0.06,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.0282536402978284,0.0,0.00022407319142552312,True,True
0.06,10,sparse_geometric,5,1,6,4,0.29852144188207264,0.00019464058623131425,0.009902885310468207,0.003123447192160274,True,True
0.06,11,sparse_geometric,5,1,6,5,0.24797150483542724,-0.050714589087730966,0.0074633355052771844,0.0008426946888029802,True,True
0.06,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.3423554376293385,2.7736955758835764e-17,0.0009089089231120103,True,True
0.06,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.8051495391750094,0.0,0.0002594039508457366,True,True
0.06,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.5681254388190864,0.0,0.0012025054462336247,True,True
0.06,15,dense_nonlocal,8,1,6,3,1.0248401225682282,0.55063938694775,0.03646466369783417,0.021839288173949645,True,True
0.06,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.5477374737064626,8.952673579213436e-35,0.0015829817638803305,True,True
0.06,17,sparse_geometric,6,1,6,4,0.566960145828227,0.20850186373518348,0.012010802792920825,0.017720759879121372,True,True
0.06,18,sparse_geometric,5,1,6,5,0.3037514269811134,0.005830378488353062,0.012237270604855598,0.0035359200466960074,True,True
0.06,19,sparse_geometric,6,1,6,4,0.3607379103128709,0.0006955193126957897,0.0010228695678339127,0.006471643496720532,True,True
0.08,0,fragmented_sparse,5,2,5,,0.3282614535529196,-0.3219997070802871,4.456826930021879e-17,0.007461732377332673,True,True
0.08,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.6807812090232115,0.0,0.0004106215175203121,True,True
0.08,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.20218021142205006,0.0023821862201645365,0.04026544610852183,True,True
0.08,3,fragmented_sparse,5,2,5,,0.5175221224065606,-0.13319704445759087,0.0,0.020547624690040785,True,True
0.08,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.2933091693144552,0.0,0.007369958541187972,True,True
0.08,5,fragmented_sparse,5,2,5,,0.8927709272377446,0.23998116615212517,0.0,0.07970745958912744,True,True
0.08,6,sparse_geometric,5,1,6,5,0.2783839121392507,-0.12027316731777224,0.008086765055634475,0.003219919058202929,True,True
0.08,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.4584401217005894,6.9050125859816655e-18,0.0011536661439057495,True,True
0.08,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.1513599100674069,0.007944185904998834,0.0031445297717875623,True,True
0.08,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.0482536402978284,0.0,0.00022407319142552312,True,True
0.08,10,sparse_geometric,5,1,6,4,0.29852144188207264,-0.09980535941376872,0.009902885310468207,0.003123447192160274,True,True
0.08,11,sparse_geometric,5,1,6,5,0.22954179453950208,-0.16916163127875847,0.007347111035880062,0.000740165849112087,True,True
0.08,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.42235543762933847,2.7736955758835764e-17,0.0009089089231120103,True,True
0.08,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.8451495391750095,0.0,0.0002594039508457366,True,True
0.08,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.6281254388190864,0.0,0.0012025054462336247,True,True
0.08,15,sparse_geometric,7,1,6,3,0.6565264722446116,0.10273151968585435,0.035906067150436045,0.007372704166733153,True,True
0.08,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.6077374737064627,8.952673579213436e-35,0.0015829817638803305,True,True
0.08,17,sparse_geometric,6,1,6,4,0.566960145828227,0.08850186373518347,0.012010802792920825,0.017720759879121372,True,True
0.08,18,sparse_geometric,5,1,6,5,0.303875891355104,-0.09404498132180096,0.012238191262592414,0.0035356315477593197,True,True
0.08,19,sparse_geometric,6,1,6,4,0.3607379103128709,-0.1193044806873042,0.0010228695678339127,0.006471643496720532,True,True
0.1,0,fragmented_sparse,4,2,5,,0.21337701449430957,-0.4367088099485227,1.7100571896329935e-17,0.0024521269380631283,True,True
0.1,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.7407812090232115,0.0,0.0004106215175203121,True,True
0.1,2,sparse_geometric,6,1,6,3,0.6831607085162187,0.08218021142204994,0.0023821862201645365,0.04026544610852183,True,True
0.1,3,fragmented_sparse,5,2,5,,0.5184384571591927,-0.23228335907128314,0.0,0.02062332087073798,True,True
0.1,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.37330916931445524,0.0,0.007369958541187972,True,True
0.1,5,fragmented_sparse,5,2,5,,0.8927709272377446,0.1399811661521252,0.0,0.07970745958912744,True,True
0.1,6,sparse_geometric,5,1,6,5,0.2786733556249337,-0.2199831995134767,0.008090263667897921,0.0032229313894872364,True,True
0.1,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.5384401217005894,6.9050125859816655e-18,0.0011536661439057495,True,True
0.1,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.2513599100674069,0.007944185904998834,0.0031445297717875623,True,True
0.1,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.0682536402978284,0.0,0.00022407319142552312,True,True
0.1,10,sparse_geometric,5,1,6,4,0.29852144188207264,-0.1998053594137687,0.009902885310468207,0.003123447192160274,True,True
0.1,11,sparse_geometric,5,1,6,5,0.22954179453950208,-0.2691616312787584,0.007347111035880062,0.000740165849112087,True,True
0.1,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.5023554376293385,2.7736955758835764e-17,0.0009089089231120103,True,True
0.1,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.8851495391750095,0.0,0.0002594039508457366,True,True
0.1,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.6881254388190865,0.0,0.0012025054462336247,True,True
0.1,15,sparse_geometric,5,1,6,4,0.4424009011565568,-0.05220600809258798,0.030617951561272134,0.0033754437192496534,False,True
0.1,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.6677374737064627,8.952673579213436e-35,0.0015829817638803305,True,True
0.1,17,sparse_geometric,6,1,6,4,0.566960145828227,-0.03149813626481663,0.012010802792920825,0.017720759879121372,True,True
0.1,18,sparse_geometric,5,1,6,5,0.3039741116036062,-0.1939466224847547,0.01223890555056221,0.0035353453560600843,True,True
0.1,19,sparse_geometric,5,1,6,5,0.21594743237638026,-0.28392711817900207,0.0010207341145011665,0.0016652198855023695,True,True
0.12,0,fragmented_sparse,4,2,5,,0.19200240464052226,-0.5380596770456408,1.1862066085429905e-17,0.001773762461802118,True,True
0.12,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.8007812090232115,0.0,0.0004106215175203121,True,True
0.12,2,sparse_geometric,6,1,6,3,0.6831607085162187,-0.03781978857794994,0.0023821862201645365,0.04026544610852183,True,True
0.12,3,fragmented_sparse,4,2,5,,0.271982029430336,-0.4581645113477587,8.909781512008534e-19,0.004186879374135636,True,True
0.12,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.4533091693144552,0.0,0.007369958541187972,True,True
0.12,5,fragmented_sparse,5,2,5,,0.8927709272377446,0.039981166152125214,0.0,0.07970745958912744,True,True
0.12,6,sparse_geometric,5,1,6,5,0.2786733556249337,-0.3199831995134767,0.008090263667897921,0.0032229313894872364,True,True
0.12,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.6184401217005893,6.9050125859816655e-18,0.0011536661439057495,True,True
0.12,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.35135991006740686,0.007944185904998834,0.0031445297717875623,True,True
0.12,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.0882536402978285,0.0,0.00022407319142552312,True,True
0.12,10,sparse_geometric,5,1,6,4,0.29852144188207264,-0.2998053594137686,0.009902885310468207,0.003123447192160274,True,True
0.12,11,sparse_geometric,5,1,6,5,0.22954179453950208,-0.3691616312787584,0.007347111035880062,0.000740165849112087,True,True
